"PortfolioMean","PortfolioStd","VaR_1pct","CVaR_1pct","VaR_2_5pct","CVaR_2_5pct","VaR_5pct","CVaR_5pct","Step"
3.77217878189569e-05,0.00186199168152427,-0.00462424101208638,-0.00521995953334532,-0.00368323764431071,-0.0046119322590701,-0.00298642144410171,-0.00395197196445837,1
3.64439611497381e-05,0.00186107941840873,-0.00462399076708885,-0.00521995953334532,-0.00368294422350808,-0.0046119322590701,-0.00298438301155667,-0.00395197196445837,2
3.48336840154108e-05,0.00186036408421018,-0.00462374052209131,-0.00521995953334532,-0.00368265080270545,-0.0046119322590701,-0.00298234457901162,-0.00395197196445837,3
3.16290245022569e-05,0.00186120535786553,-0.00462349027709377,-0.00521995953334532,-0.00368235738190283,-0.0046119322590701,-0.00298030614646657,-0.00395197196445837,4
3.2170191178374e-05,0.00186002844672471,-0.00462324003209623,-0.00521995953334532,-0.0036820639611002,-0.0046119322590701,-0.00297826771392152,-0.00395197196445837,5
3.54052630450324e-05,0.0018609188454366,-0.00462298978709869,-0.00521995953334532,-0.00368177054029758,-0.0046119322590701,-0.00297622928137647,-0.00395197196445837,6
3.39395385462067e-05,0.00186012266277132,-0.00462273954210115,-0.00521995953334532,-0.00368147711949495,-0.0046119322590701,-0.00297419084883142,-0.00395197196445837,7
3.59004596260905e-05,0.0018596747972622,-0.00462248929710362,-0.00521995953334532,-0.00368118369869233,-0.0046119322590701,-0.00297215241628637,-0.00395197196445837,8
3.8165367436201e-05,0.00185949191937272,-0.00462223905210608,-0.00521995953334532,-0.0036808902778897,-0.0046119322590701,-0.00297011398374132,-0.00395197196445837,9
3.64307961750269e-05,0.00185887928790222,-0.00462198880710854,-0.00521995953334532,-0.00368059685708707,-0.0046119322590701,-0.00296807555119627,-0.00395197196445837,10
3.45243479420943e-05,0.00185839765644647,-0.004621738562111,-0.00521995953334532,-0.00368030343628445,-0.0046119322590701,-0.00296603711865122,-0.00395197196445837,11
3.8536315413464e-05,0.00186046944367563,-0.00462148831711346,-0.00521995953334532,-0.00368001001548182,-0.00456533614689069,-0.00296399868610617,-0.0039266393162955,12
3.9448190074593e-05,0.00185941704493334,-0.00462123807211593,-0.00521995953334532,-0.0036798968659768,-0.00456533614689069,-0.00296374900832353,-0.0039266393162955,13
4.17337151114575e-05,0.00185926868973431,-0.00462098782711839,-0.00521995953334532,-0.00367978371647178,-0.00456533614689069,-0.00296349933054089,-0.0039266393162955,14
4.4307751952166e-05,0.0018594115808253,-0.00462073758212085,-0.00521995953334532,-0.00367967056696675,-0.00456533614689069,-0.00296324965275826,-0.0039266393162955,15
5.04387832727939e-05,0.00186591586660468,-0.00462048733712331,-0.00521995953334532,-0.00367955741746173,-0.00456533614689069,-0.00296299997497562,-0.0039266393162955,16
4.73878644310541e-05,0.00186660677814929,-0.00462023709212577,-0.00521995953334532,-0.00367944426795671,-0.00456533614689069,-0.00296275029719299,-0.0039266393162955,17
5.11858495478028e-05,0.00186835114766542,-0.00461998684712824,-0.00521995953334532,-0.00367933111845168,-0.00456533614689069,-0.00296250061941035,-0.0039266393162955,18
5.22325684141876e-05,0.00186735810499066,-0.0046197366021307,-0.00521995953334532,-0.00367921796894666,-0.00456533614689069,-0.00296225094162771,-0.0039266393162955,19
5.64111187267626e-05,0.00186973603775075,-0.00461948635713316,-0.00521995953334532,-0.00367910481944164,-0.00456533614689069,-0.00296200126384508,-0.0039266393162955,20
5.46751241049401e-05,0.00186914080044398,-0.00461923611213562,-0.00521995953334532,-0.00367899166993661,-0.00456533614689069,-0.00296175158606244,-0.0039266393162955,21
4.96332247423141e-05,0.00187316562888314,-0.00461898586713808,-0.00521995953334532,-0.0036888126395606,-0.00457296711034058,-0.00298438301155667,-0.00394891189574097,22
4.58042085927929e-05,0.00187497123698695,-0.00461873562214055,-0.00521995953334532,-0.00368851921875797,-0.00457296711034058,-0.00298234457901162,-0.00394891189574097,23
4.71155964912059e-05,0.00187411118093201,-0.00461848537714301,-0.00521995953334532,-0.00368822579795535,-0.00457296711034058,-0.00298030614646657,-0.00394891189574097,24
5.08427461201792e-05,0.00187576681250694,-0.00461823513214547,-0.00521995953334532,-0.00368793237715272,-0.00457296711034058,-0.00297826771392152,-0.00394891189574097,25
5.26562900427016e-05,0.00187523443801335,-0.00461798488714793,-0.00521995953334532,-0.00368763895635009,-0.00457296711034058,-0.00297622928137647,-0.00394891189574097,26
5.08746591401409e-05,0.00187468129522607,-0.00461773464215039,-0.00521995953334532,-0.00368734553554747,-0.00457296711034058,-0.00297419084883142,-0.00394891189574097,27
4.79714391241062e-05,0.00187522002534774,-0.00461748439715286,-0.00521995953334532,-0.00368705211474484,-0.00457296711034058,-0.00297215241628637,-0.00394891189574097,28
4.90913871000476e-05,0.00187427327253621,-0.00461723415215532,-0.00521995953334532,-0.00368675869394222,-0.00457296711034058,-0.00297011398374132,-0.00394891189574097,29
5.05880107401997e-05,0.00187353405959312,-0.00461698390715778,-0.00521995953334532,-0.00368646527313959,-0.00457296711034058,-0.00296807555119627,-0.00394891189574097,30
5.3122526978125e-05,0.00187366871983787,-0.00461673366216024,-0.00521995953334532,-0.00368617185233697,-0.00457296711034058,-0.00296603711865122,-0.00394891189574097,31
5.21549529117584e-05,0.00187266249765965,-0.0046164834171627,-0.00521995953334532,-0.00368587843153434,-0.00457296711034058,-0.00296399868610617,-0.0039242890655001,32
5.51876608690443e-05,0.00187338381241379,-0.00461623317216517,-0.00521995953334532,-0.00368558501073171,-0.00457296711034058,-0.00296374900832353,-0.0039242890655001,33
5.96898280968108e-05,0.00187641946203999,-0.00461598292716763,-0.00521995953334532,-0.00368529158992909,-0.00457296711034058,-0.00296349933054089,-0.0039242890655001,34
6.50398852056997e-05,0.00188119477282609,-0.00461573268217009,-0.00521995953334532,-0.00368499816912646,-0.00457296711034058,-0.00296324965275826,-0.0039242890655001,35
6.84117775160834e-05,0.00188236687697302,-0.00461548243717255,-0.00521995953334532,-0.00368470474832384,-0.00457296711034058,-0.00296299997497562,-0.0039242890655001,36
6.82526579921436e-05,0.00188117282456188,-0.00461523219217501,-0.00521995953334532,-0.00368441132752121,-0.00457296711034058,-0.00296275029719299,-0.0039242890655001,37
7.04064056835882e-05,0.00188094643535265,-0.00461498194717748,-0.00521995953334532,-0.00368411790671858,-0.00457296711034058,-0.00296250061941035,-0.0039242890655001,38
8.29374860162901e-05,0.00191238124733448,-0.00461473170217994,-0.00521995953334532,-0.00368382448591596,-0.00457296711034058,-0.00296225094162771,-0.0039242890655001,39
